sequence_length,model,chunk_size,runtime_seconds,max_memory_mb,gpu_memory_mb,exit_code
50,esm2_t36_3B_UR50D,128,61.159745992,19211,9206,0
50,esm2_t36_3B_UR50D,256,56.846372237,19212,9206,0
100,esm2_t36_3B_UR50D,128,58.971402871,19211,9334,0
100,esm2_t36_3B_UR50D,256,54.672730145,19211,9334,0
200,esm2_t36_3B_UR50D,128,60.999276112,19211,9740,0
200,esm2_t36_3B_UR50D,256,63.186906730,19213,9924,0
400,esm2_t36_3B_UR50D,128,71.498416422,19211,10948,0
400,esm2_t36_3B_UR50D,256,73.720804927,19210,12168,0
